,,,1,,2,,3,,4,,5,,Правильне ім’я
56,Kyryienko Volodymyr Serhiiovych,gemini-embedding-001,0.9396827,Vladimir Sergeevich KIRIYENKO,0.92005086,Volodymyr Mykolayovych OLIYNYK,0.91762495,Sergei Vladilenovich KIRIYENKO,0.91053975,Kostyantyn Volodymyrovych IVASHCHENKO,0.90816224,Vladimir Vladislavovich KOVALENKO,Vladimir Sergeevich KIRIYENKO
34,Volodymyr Kyryenko,text-embedding-004,0.852261,Volodymyr Mykhailovych BOBRYSHEV,0.8503741,Volodymyr Mykolayovych OLIYNYK,0.81820214,Dmytro Volodymyrovych KOVALCHUK,0.8076532,Volodymyr Valeriyovych ROGOV,0.8070743,Andriy Petrovych KLYUYEV,Vladimir Sergeevich KIRIYENKO
72,Volodymyr Kyryenko,gemini-embedding-001,0.9395577,Vladimir Sergeevich KIRIYENKO,0.9227105,Volodymyr Mykolayovych OLIYNYK,0.91111445,Vladimir Vladislavovich KOVALENKO,0.9108276,Sergei Vladilenovich KIRIYENKO,0.9042219,Vladimir KRYLOV,Vladimir Sergeevich KIRIYENKO
35,Volodymyr Kyryienko,text-embedding-004,0.85254204,Volodymyr Mykolayovych OLIYNYK,0.84846383,Volodymyr Mykhailovych BOBRYSHEV,0.8152809,Dmytro Volodymyrovych KOVALCHUK,0.8106962,Andriy Petrovych KLYUYEV,0.8068728,Volodymyr Valeriyovych ROGOV,Vladimir Sergeevich KIRIYENKO
73,Volodymyr Kyryienko,gemini-embedding-001,0.9348698,Vladimir Sergeevich KIRIYENKO,0.91863346,Volodymyr Mykolayovych OLIYNYK,0.9108689,Vladimir Vladislavovich KOVALENKO,0.9069481,Sergei Vladilenovich KIRIYENKO,0.89793396,Kostyantyn Volodymyrovych IVASHCHENKO,Vladimir Sergeevich KIRIYENKO
19,Maria Khernandez,text-embedding-004,0.7694204,MARIA,0.7501684,Maria Alejandrina SALAZAR HERNANDEZ,0.73680395,MARIA E,0.7322263,Maria Elda HERNANDEZ PULIDO,0.7298472,Maria Monserrat AVILA ROCHA,Maria Alejandrina SALAZAR HERNANDEZ або Maria Elda HERNANDEZ PULIDO
57,Maria Khernandez,gemini-embedding-001,0.94114935,MARIA,0.93491316,"""MARIA E",0.9224961,Maria Elda HERNANDEZ PULIDO,0.9134735,Maria Alejandrina SALAZAR HERNANDEZ,0.89901054,Maria Icela CHAVEZ MARTINEZ,Maria Alejandrina SALAZAR HERNANDEZ або Maria Elda HERNANDEZ PULIDO
20,Mariia Khernandes,text-embedding-004,0.7309751,MARIANA,0.7212694,Marilena GEORGIOU,0.7211491,Mariya Vasilyevna KOLEDA,0.7179911,Maryna Jurjewna RAKHMANAVA,0.7134423,Iryna Aliaksandrawna TSELIKAVIETS,Maria Alejandrina SALAZAR HERNANDEZ або Maria Elda HERNANDEZ PULIDO
58,Mariia Khernandes,gemini-embedding-001,0.8956215,LADY MARIIA,0.89441895,MARIA,0.89236844,MARIA E,0.89104843,Mariya Gennadevna ERMAKOVA,0.88699156,Mariya Vasilyevna KOLEDA,Maria Alejandrina SALAZAR HERNANDEZ або Maria Elda HERNANDEZ PULIDO
21,Mariia Khernandez,text-embedding-004,0.7457449,MARIANA,0.72653913,MARIA,0.71261317,Mariya Vasilyevna KOLEDA,0.7102839,Mariya Evgenevna ZUEVA,0.70849323,Mariya Gennadevna ERMAKOVA,Maria Alejandrina SALAZAR HERNANDEZ або Maria Elda HERNANDEZ PULIDO
59,Mariia Khernandez,gemini-embedding-001,0.9021718,MARIA,0.89911985,LADY MARIIA,0.8972797,MARIA E,0.8936695,Maria Elda HERNANDEZ PULIDO,0.8893555,Mariya Gennadevna ERMAKOVA,Maria Alejandrina SALAZAR HERNANDEZ або Maria Elda HERNANDEZ PULIDO
22,Marya Khernandez,text-embedding-004,0.73580605,Maryna Jurjewna RAKHMANAVA,0.70452887,MARIA,0.7043302,Mary Cruz RODRIGUEZ AGUIRRE,0.70122445,Mayela CARDONA MARTINEZ,0.69529164,MARAYA,Maria Alejandrina SALAZAR HERNANDEZ або Maria Elda HERNANDEZ PULIDO
60,Marya Khernandez,gemini-embedding-001,0.9003965,MARIA,0.89584756,MARAYA,0.89508015,MARIA E,0.8836907,Maria Elda HERNANDEZ PULIDO,0.875907,Maria Alejandrina SALAZAR HERNANDEZ,Maria Alejandrina SALAZAR HERNANDEZ або Maria Elda HERNANDEZ PULIDO
23,Maryia Khernandes,text-embedding-004,0.7358714,Maryna Jurjewna RAKHMANAVA,0.7160373,Marilena GEORGIOU,0.7041886,Kayiira MUHAMMAD,0.6992341,Mariya Vasilyevna KOLEDA,0.6938721,LADY MARIIA,Maria Alejandrina SALAZAR HERNANDEZ або Maria Elda HERNANDEZ PULIDO
61,Maryia Khernandes,gemini-embedding-001,0.89339936,MARIA,0.8914714,MARIA E,0.88809264,Mariya Vasilyevna KOLEDA,0.87981284,Maria Anatolyevna BOVDA,0.8792323,Mariya Gennadevna ERMAKOVA,Maria Alejandrina SALAZAR HERNANDEZ або Maria Elda HERNANDEZ PULIDO
24,Maryia Khernandez,text-embedding-004,0.72074866,Maryna Jurjewna RAKHMANAVA,0.7145384,MARIA,0.71008444,MARIANA,0.70602405,Kayiira MUHAMMAD,0.69465905,Mayela CARDONA MARTINEZ,Maria Alejandrina SALAZAR HERNANDEZ або Maria Elda HERNANDEZ PULIDO
62,Maryia Khernandez,gemini-embedding-001,0.8970008,MARIA,0.8936728,MARIA E,0.8888811,Maria Elda HERNANDEZ PULIDO,0.88595295,Mariya Vasilyevna KOLEDA,0.88060796,Maria Anatolyevna BOVDA,Maria Alejandrina SALAZAR HERNANDEZ або Maria Elda HERNANDEZ PULIDO
25,Mokhamed Sadekh Karimian,text-embedding-004,0.94170153,Mohammad Sadegh KARIMIAN,0.8405277,Mohammad KARAMI,0.80926216,Mohammad Reza KHADEMI,0.8033372,Seyed Mohsen VAHABZADEH MOGHADAM,0.80152214,Maziar KARIMI,Mohammad Sadegh KARIMIAN
63,Mokhamed Sadekh Karimian,gemini-embedding-001,0.9503186,Mohammad Sadegh KARIMIAN,0.902433,Mohammad KARAMI,0.8958643,Mohammad Hasan SADEGHI MOGHADAM,0.8958136,Sadeq MAHSOULI,0.89434564,Mohammad Sadegh ABUTALEBI,Mohammad Sadegh KARIMIAN
26,Mokhamed Sadekh Karymyan,text-embedding-004,0.87919235,Mohammad Sadegh KARIMIAN,0.7748725,Mohammad GHORBANIYAN,0.7741613,Seyed Mohsen VAHABZADEH MOGHADAM,0.77113986,Mohammad KARAMI,0.76479745,Mohammad Reza MIRHEYDARY,Mohammad Sadegh KARIMIAN
64,Mokhamed Sadekh Karymyan,gemini-embedding-001,0.9354941,Mohammad Sadegh KARIMIAN,0.8993823,Sadegh AHMADZADEGAN,0.89890885,Sadeq MAHSOULI,0.8963452,Mohammad Sadegh ABUTALEBI,0.8950101,Mohammad KARAMI,Mohammad Sadegh KARIMIAN
27,Mokhammed Sadekh Karimian,text-embedding-004,0.9457567,Mohammad Sadegh KARIMIAN,0.85165656,Mohammad KARAMI,0.8082574,Maziar KARIMI,0.80381274,Mohammad Reza KHADEMI,0.79814005,Ahmad KARIMI,Mohammad Sadegh KARIMIAN
65,Mokhammed Sadekh Karimian,gemini-embedding-001,0.9624939,Mohammad Sadegh KARIMIAN,0.9167494,Mohammad KARAMI,0.9105816,Mohammad Hasan SADEGHI MOGHADAM,0.9088615,Mohammad Sadegh ABUTALEBI,0.9085528,Mohammed SAEEDI,Mohammad Sadegh KARIMIAN
28,Mokhammed Sadekh Karymyan,text-embedding-004,0.8837815,Mohammad Sadegh KARIMIAN,0.7835309,Mohammad KARAMI,0.78142035,Mohammad GHORBANIYAN,0.763476,Masoud KARBASIAN,0.76080626,Mohammad Reza MIRHEYDARY,Mohammad Sadegh KARIMIAN
66,Mokhammed Sadekh Karymyan,gemini-embedding-001,0.94685745,Mohammad Sadegh KARIMIAN,0.9119064,Mohammad Sadegh ABUTALEBI,0.9106369,Sadegh AHMADZADEGAN,0.91023624,Mohammad Sadeg FATEHI,0.9090749,Mohammed SAEEDI,Mohammad Sadegh KARIMIAN
30,Rolduhin Serhii Pavlovych,text-embedding-004,0.8795152,Sergei Pavlovich ROLDUGIN,0.8056205,Sergey Nikolayevich RYABUKHIN,0.77594715,Serhii Anatoliyovych ZDRILIUK,0.7748852,Serhiy ARBUZOV,0.76905817,Volodymyr Valeriyovych ROGOV,Sergei Pavlovich ROLDUGIN
68,Rolduhin Serhii Pavlovych,gemini-embedding-001,0.90413594,Sergei Pavlovich ROLDUGIN,0.89819777,Serhiy MELNYCHUK,0.8925079,Serhii Anatoliyovych ZDRILIUK,0.8916452,Serhiy Pavlovich TSEKOV,0.8838157,Serhiy Mykolayovych CHEREVKO,Sergei Pavlovich ROLDUGIN
31,Rolduhyn Serhii Pavlovych,text-embedding-004,0.8267933,Sergei Pavlovich ROLDUGIN,0.78756386,Sergey Nikolayevich RYABUKHIN,0.781623,Serhii Anatoliyovych ZDRILIUK,0.7737696,Volodymyr Valeriyovych ROGOV,0.7654463,Serhiy ARBUZOV,Sergei Pavlovich ROLDUGIN
69,Rolduhyn Serhii Pavlovych,gemini-embedding-001,0.9127073,Serhiy MELNYCHUK,0.91114104,Serhii Anatoliyovych ZDRILIUK,0.8987091,Sergei Pavlovich ROLDUGIN,0.8971292,Serhiy Pavlovich TSEKOV,0.89442724,Pavlo Ihorovych FILIPCHUK,Sergei Pavlovich ROLDUGIN
32,Serhii Rolduhin,text-embedding-004,0.8418765,Sergei Pavlovich ROLDUGIN,0.81528723,Serhiy ARBUZOV,0.80499005,Serhii Anatoliyovych ZDRILIUK,0.80236644,Sergey Nikolayevich RYABUKHIN,0.7971518,Serhiy MELNYCHUK,Sergei Pavlovich ROLDUGIN
70,Serhii Rolduhin,gemini-embedding-001,0.91700554,Serhiy MELNYCHUK,0.91235507,Serhii Anatoliyovych ZDRILIUK,0.8997934,Serhiy ARBUZOV,0.8977268,Serhiy KOZYAKOV,0.8955376,Siarhei CHARHEIKA,Sergei Pavlovich ROLDUGIN
33,Serhii Rolduhyn,text-embedding-004,0.8243313,Serhiy MELNYCHUK,0.81752807,Serhiy ARBUZOV,0.8097334,Serhii Anatoliyovych ZDRILIUK,0.79550636,Serhiy KOZYAKOV,0.7798903,Sergey Nikolayevich RYABUKHIN,Sergei Pavlovich ROLDUGIN
71,Serhii Rolduhyn,gemini-embedding-001,0.92601657,Serhiy MELNYCHUK,0.92203486,Serhii Anatoliyovych ZDRILIUK,0.9054308,Serhiy ARBUZOV,0.90426326,Serhiy KOZYAKOV,0.9037179,Siarhei CHARHEIKA,Sergei Pavlovich ROLDUGIN
